response_id,transcelerate_parameters,status
10,Censored Data – Statistical analysis,Currently in Use
10,Disposition – Early Termination,Currently in Use
10,Repeated Timepoints for FIH/Early Phase trials,Currently in Use
10,Repeated Timepoints for FIH/Early Phase trials,Planned to Use
10,Stratification,Currently in Use
12,PD – I/E Criteria,Under Consideration
12,PD – Study Conduct,Not Considered a QTL
12,PD – Other,Not Considered a QTL
12,Primary Endpoint Assessment,Currently in Use
12,Secondary Endpoint Assessment,Currently in Use
12,Investigational Product – Compliance,Planned to Use
12,Investigational Product - Other,Not Considered a QTL
12,Randomization Failure,Under Consideration
12,Lost to Follow Up,Not Considered a QTL
12,Informed Consent,Not Considered a QTL
12,AE/SAE - Reporting,Not Considered a QTL
12,Censored Data – Statistical analysis,Planned to Use
12,Disposition – Early Termination,Not Considered a QTL
12,Repeated Timepoints for FIH/Early Phase trials,Planned to Use
12,Stratification,Not Considered a QTL
13,PD – I/E Criteria,Under Consideration
13,PD – Study Conduct,Not Considered a QTL
13,PD – Other,Not Considered a QTL
13,Primary Endpoint Assessment,Currently in Use
13,Secondary Endpoint Assessment,Currently in Use
13,Investigational Product – Compliance,Planned to Use
13,Investigational Product - Other,Under Consideration
13,Randomization Failure,Not Considered a QTL
13,Lost to Follow Up,Under Consideration
13,Informed Consent,Not Considered a QTL
13,AE/SAE - Reporting,Planned to Use
13,Censored Data – Statistical analysis,Under Consideration
13,Disposition – Early Termination,Currently in Use
13,Repeated Timepoints for FIH/Early Phase trials,Under Consideration
13,Stratification,Under Consideration
13,Other1,Under Consideration
14,PD – I/E Criteria,Not Considered a QTL
14,PD – Study Conduct,Not Considered a QTL
14,PD – Other,Planned to Use
14,Primary Endpoint Assessment,Planned to Use
14,Secondary Endpoint Assessment,Not Considered a QTL
14,Investigational Product – Compliance,Planned to Use
14,Investigational Product - Other,Not Considered a QTL
14,Randomization Failure,Under Consideration
14,Lost to Follow Up,Planned to Use
14,Informed Consent,Not Considered a QTL
14,AE/SAE - Reporting,Under Consideration
14,Censored Data – Statistical analysis,Under Consideration
14,Disposition – Early Termination,Planned to Use
14,Repeated Timepoints for FIH/Early Phase trials,Under Consideration
14,Stratification,Under Consideration
14,Other1,Not Considered a QTL
14,Other2,Not Considered a QTL
14,Other3,Not Considered a QTL
15,PD – I/E Criteria,Currently in Use
15,PD – Study Conduct,Not Considered a QTL
15,PD – Other,Not Considered a QTL
15,Primary Endpoint Assessment,Currently in Use
15,Secondary Endpoint Assessment,Currently in Use
15,Investigational Product – Compliance,Currently in Use
15,Investigational Product - Other,Not Considered a QTL
15,Randomization Failure,Currently in Use
15,Lost to Follow Up,Currently in Use
15,Informed Consent,Not Considered a QTL
15,AE/SAE - Reporting,Not Considered a QTL
15,Disposition – Early Termination,Currently in Use
15,Repeated Timepoints for FIH/Early Phase trials,Not Considered a QTL
15,Stratification,Currently in Use
