response_id,stage_phase,rbm_approaches
8,Phase III - FU,CTQ Factors
8,Phase III - FU,QbD Processes
8,Phase III - FU,QTL'S
8,Phase III - FU,Alignment of QTL'S with CTQ'S
8,Phase IV,CTQ Factors
8,Phase IV,QbD Processes
8,Phase IV,QTL'S
8,Phase IV,Alignment of QTL'S with CTQ'S
9,FIH,CTQ Factors
9,FIH,QTL'S
9,FIH,Alignment of QTL'S with CTQ'S
9,FIH,Other Risk-Based Approaches
9,Phase I Non-FIH,CTQ Factors
9,Phase I Non-FIH,QTL'S
9,Phase I Non-FIH,Alignment of QTL'S with CTQ'S
9,Phase I Non-FIH,Other Risk-Based Approaches
9,Phase II,CTQ Factors
9,Phase II,QTL'S
9,Phase II,Alignment of QTL'S with CTQ'S
9,Phase II,Other Risk-Based Approaches
9,Phase III - RS,CTQ Factors
9,Phase III - RS,QTL'S
9,Phase III - RS,Alignment of QTL'S with CTQ'S
9,Phase III - RS,Other Risk-Based Approaches
9,Phase III - FU,CTQ Factors
9,Phase III - FU,QTL'S
9,Phase III - FU,Alignment of QTL'S with CTQ'S
9,Phase III - FU,Other Risk-Based Approaches
10,Phase II,CTQ Factors
10,Phase II,QbD Processes
11,FIH,CTQ Factors
11,FIH,QbD Processes
11,Phase I Non-FIH,CTQ Factors
11,Phase I Non-FIH,QbD Processes
11,Phase I Non-FIH,QTL'S
11,Phase I Non-FIH,Alignment of QTL'S with CTQ'S
11,Phase I Non-FIH,Other Risk-Based Approaches
11,Phase II,CTQ Factors
11,Phase II,QbD Processes
11,Phase II,QTL'S
11,Phase II,Alignment of QTL'S with CTQ'S
11,Phase II,Other Risk-Based Approaches
11,Phase III - RS,CTQ Factors
11,Phase III - RS,QbD Processes
11,Phase III - RS,QTL'S
11,Phase III - RS,Alignment of QTL'S with CTQ'S
11,Phase III - RS,Other Risk-Based Approaches
11,Phase III - FU,CTQ Factors
11,Phase III - FU,QbD Processes
11,Phase III - FU,QTL'S
11,Phase III - FU,Alignment of QTL'S with CTQ'S
11,Phase III - FU,Other Risk-Based Approaches
11,Phase IV,CTQ Factors
11,Phase IV,QbD Processes
11,Phase IV,QTL'S
11,Phase IV,Alignment of QTL'S with CTQ'S
11,Phase IV,Other Risk-Based Approaches
12,FIH,QbD Processes
12,Phase I Non-FIH,QbD Processes
12,Phase II,QTL'S
12,Phase II,Other Risk-Based Approaches
12,Phase III - RS,QTL'S
12,Phase III - RS,Other Risk-Based Approaches
12,Phase III - FU,QTL'S
12,Phase IV,Other Risk-Based Approaches
13,FIH,CTQ Factors
13,FIH,QbD Processes
13,FIH,QTL'S
13,FIH,Alignment of QTL'S with CTQ'S
13,Phase I Non-FIH,CTQ Factors
13,Phase I Non-FIH,QbD Processes
13,Phase I Non-FIH,QTL'S
13,Phase I Non-FIH,Alignment of QTL'S with CTQ'S
13,Phase II,CTQ Factors
13,Phase II,QbD Processes
13,Phase II,QTL'S
13,Phase II,Alignment of QTL'S with CTQ'S
13,Phase II,Other Risk-Based Approaches
13,Phase III - RS,CTQ Factors
13,Phase III - RS,QbD Processes
13,Phase III - RS,QTL'S
13,Phase III - RS,Alignment of QTL'S with CTQ'S
13,Phase III - RS,Other Risk-Based Approaches
13,Phase III - FU,CTQ Factors
13,Phase III - FU,QbD Processes
13,Phase III - FU,QTL'S
13,Phase III - FU,Alignment of QTL'S with CTQ'S
13,Phase III - FU,Other Risk-Based Approaches
13,Phase IV,CTQ Factors
13,Phase IV,QbD Processes
13,Phase IV,QTL'S
13,Phase IV,Alignment of QTL'S with CTQ'S
13,Phase IV,Other Risk-Based Approaches
14,FIH,CTQ Factors
14,FIH,Other Risk-Based Approaches
14,Phase I Non-FIH,CTQ Factors
14,Phase I Non-FIH,Other Risk-Based Approaches
14,Phase II,CTQ Factors
14,Phase II,Other Risk-Based Approaches
14,Phase III - RS,CTQ Factors
14,Phase III - RS,Other Risk-Based Approaches
14,Phase III - FU,CTQ Factors
14,Phase III - FU,Other Risk-Based Approaches
15,Phase I Non-FIH,CTQ Factors
15,Phase I Non-FIH,QbD Processes
15,Phase I Non-FIH,Other Risk-Based Approaches
15,Phase II,CTQ Factors
15,Phase II,QbD Processes
15,Phase II,QTL'S
15,Phase II,Alignment of QTL'S with CTQ'S
15,Phase II,Other Risk-Based Approaches
15,Phase III - RS,CTQ Factors
15,Phase III - RS,QbD Processes
15,Phase III - RS,QTL'S
15,Phase III - RS,Alignment of QTL'S with CTQ'S
15,Phase III - RS,Other Risk-Based Approaches
15,Phase III - FU,CTQ Factors
15,Phase III - FU,QbD Processes
15,Phase III - FU,Other Risk-Based Approaches
