response_id,possible_action,action_type
11,Change in Trial Monitoring Strategy,Primary Breach
11,Instructions Provided to Sites,Secondary Breach
11,Instructions Provided to Vendors,Secondary Breach
12,Protocol Amendment,Not Applicable
12,Change in QTL Threshold,Not Applicable
12,Change in QTL Parameter Metric,Not Applicable
12,Change in QTL Statistical Distribution,Not Applicable
12,Change in QTL Statistical Methodology,Not Applicable
12,Change in Trial Monitoring Strategy,Not Applicable
12,Instructions Provided to Sites,Not Applicable
12,Instructions Provided to Vendors,Not Applicable
12,Other,Not Applicable
13,Protocol Amendment,Primary Breach
13,Protocol Amendment,Secondary Breach
13,Change in QTL Threshold,Primary Breach
13,Change in QTL Threshold,Secondary Breach
13,Change in QTL Parameter Metric,Primary Breach
13,Change in QTL Parameter Metric,Secondary Breach
13,Change in QTL Statistical Distribution,Primary Breach
13,Change in QTL Statistical Distribution,Secondary Breach
13,Change in QTL Statistical Methodology,Primary Breach
13,Change in QTL Statistical Methodology,Secondary Breach
13,Change in Trial Monitoring Strategy,Primary Breach
13,Change in Trial Monitoring Strategy,Secondary Breach
13,Instructions Provided to Sites,Primary Breach
13,Instructions Provided to Sites,Secondary Breach
13,Instructions Provided to Vendors,Primary Breach
13,Instructions Provided to Vendors,Secondary Breach
15,Protocol Amendment,Primary Breach
15,Change in QTL Threshold,Primary Breach
15,Change in QTL Parameter Metric,Not Applicable
15,Change in QTL Statistical Distribution,Not Applicable
15,Change in QTL Statistical Methodology,Not Applicable
15,Change in Trial Monitoring Strategy,Primary Breach
15,Instructions Provided to Sites,Primary Breach
15,Instructions Provided to Vendors,Primary Breach
