─ Session info ─────────────────────────────────────────────────────────────────────────────
 setting  value
 version  R version 4.3.1 (2023-06-16 ucrt)
 os       Windows 10 x64 (build 19045)
 system   x86_64, mingw32
 ui       RStudio
 language (EN)
 collate  English_United States.utf8
 ctype    English_United States.utf8
 tz       America/New_York
 date     2023-12-10
 rstudio  2023.09.0+463 Desert Sunflower (desktop)
 pandoc   NA

─ Packages ─────────────────────────────────────────────────────────────────────────────────
 ! package        * version  date (UTC) lib source
 P tidyverse      * 2.0.0    2023-02-22 [?] CRAN (R 4.3.0)
 P timechange       0.2.0    2023-01-11 [?] CRAN (R 4.3.0)
 P tools            4.3.1    2023-06-16 [?] local
 P tzdb             0.4.0    2023-05-12 [?] CRAN (R 4.3.0)
 P urbnthemes     * 0.0.2    2023-11-17 [?] Github (UrbanInstitute/urbnthemes@f6a368d)
 P utf8             1.2.4    2023-10-22 [?] CRAN (R 4.3.2)
 P utils          * 4.3.1    2023-06-16 [?] local
 P vctrs            0.6.5    2023-12-01 [?] CRAN (R 4.3.2)
 P withr            2.5.2    2023-10-30 [?] CRAN (R 4.3.2)
 P xml2             1.3.5    2023-07-06 [?] CRAN (R 4.3.1)

 [1] C:/Users/poncest/OneDrive - Bristol Myers Squibb/RStudio/work/PHUSE_RBM_QTL/renv/library/R-4.3/x86_64-w64-mingw32
 [2] C:/Users/poncest/AppData/Local/R/cache/R/renv/sandbox/R-4.3/x86_64-w64-mingw32/da822c09

 P ── Loaded and on-disk path mismatch.

────────────────────────────────────────────────────────────────────────────────────────────
